                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.60411,                 0.9296,                0.70002,                 1.0265,                0.80964,                0.56818,                0.63359,                  0.388,                0.84289,                0.59091,                0.64201,                0.40347,                 1.3703,                 2.2411,                 1.6746,                 1.9714,              0.0012462,              0.0012462,              0.0012462
                     54,                0.57323,                0.82411,                0.68998,                0.99338,                0.77125,                0.52273,                0.57342,                0.36166,                0.77832,                    0.5,                0.53249,                0.31064,                 1.3457,                 3.0582,                 1.7639,                  1.925,              0.0012379,              0.0012379,              0.0012379
                     55,                0.68427,                0.96491,                0.71086,                 1.0616,                0.91716,                0.54545,                0.60273,                0.36137,                0.91716,                0.54545,                0.60133,                0.39345,                 1.3678,                  2.092,                 1.7524,                 1.8231,              0.0012297,              0.0012297,              0.0012297
                     56,                0.60483,                0.92264,                0.70159,                 1.0185,                0.83787,                0.61364,                0.60694,                0.40134,                0.86941,                0.63636,                0.63359,                 0.4083,                  1.285,                 2.5098,                 1.6551,                 1.7816,              0.0012214,              0.0012214,              0.0012214
                     57,                 0.5408,                0.84209,                 0.6569,                 1.0129,                0.83402,                0.61364,                0.62248,                0.42619,                0.87455,                0.63636,                0.65159,                0.41753,                 1.2231,                 2.8214,                 1.5076,                 1.7384,              0.0012132,              0.0012132,              0.0012132
                     58,                 0.5597,                0.87147,                0.65262,                   1.01,                0.82036,                0.62289,                0.64536,                0.44132,                0.83761,                0.65909,                0.65418,                0.43996,                 1.2156,                 3.1807,                 1.5508,                 1.7725,              0.0012049,              0.0012049,              0.0012049
                     59,                0.60159,                0.82968,                0.71288,                  1.014,                0.89647,                0.59038,                0.63546,                0.38958,                0.89078,                0.56818,                 0.6288,                 0.4134,                 1.3222,                 3.9284,                 1.6103,                  1.934,              0.0011967,              0.0011967,              0.0011967
                     60,                0.58787,                0.86294,                0.64856,                 1.0281,                0.83328,                0.56818,                0.60229,                0.37965,                0.79979,                0.54545,                0.57679,                0.39213,                 1.2828,                 5.6258,                 1.7468,                 1.8617,              0.0011884,              0.0011884,              0.0011884
                     61,                0.60396,                0.87132,                0.68009,                 1.0272,                0.87702,                0.52273,                0.58174,                0.37481,                0.70779,                    0.5,                0.53317,                0.34864,                 1.2724,                  6.155,                  1.864,                 1.8715,              0.0011802,              0.0011802,              0.0011802
                     62,                0.58383,                0.80283,                0.62314,                0.99064,                0.83092,                0.47727,                0.54174,                0.33349,                 0.5612,                    0.5,                0.44025,                0.24918,                 1.3865,                 7.1257,                 2.0596,                 2.0448,              0.0011719,              0.0011719,              0.0011719
                     63,                0.58552,                0.90672,                0.64861,                 1.0172,                0.86049,                0.56089,                 0.6266,                0.43697,                0.70865,                0.59091,                0.57261,                 0.3498,                 1.2416,                 5.7562,                  1.722,                  1.733,              0.0011636,              0.0011636,              0.0011636
                     64,                0.63012,                 1.0051,                0.67211,                 1.0619,                0.74719,                0.56818,                0.56004,                0.38089,                 0.6571,                0.47914,                0.49591,                0.28043,                 1.4178,                 5.0982,                 1.8894,                 1.8849,              0.0011554,              0.0011554,              0.0011554
                     65,                0.58578,                 0.8199,                0.65127,                 1.0228,                0.74783,                0.53933,                0.52392,                0.33651,                0.60691,                0.43182,                0.44062,                0.23753,                 1.5607,                 6.0809,                 1.9894,                 2.0522,              0.0011471,              0.0011471,              0.0011471
                     66,                0.60005,                0.89783,                 0.6338,                 1.0036,                0.83124,                0.55991,                0.57352,                0.39266,                0.77122,                0.43182,                  0.477,                0.30168,                 1.4333,                 6.1135,                 1.8287,                 1.9275,              0.0011389,              0.0011389,              0.0011389
                     67,                0.61093,                0.90173,                0.67217,                 1.0152,                0.86556,                0.58544,                0.61962,                0.42558,                0.86556,                0.58544,                0.60621,                0.43649,                 1.3238,                 2.7609,                 1.5257,                 1.6963,              0.0011306,              0.0011306,              0.0011306
                     68,                 0.5396,                0.82962,                0.58239,                0.97454,                0.74206,                 0.5885,                0.60817,                0.39991,                0.74206,                 0.5885,                0.59501,                0.44139,                 1.1631,                 2.2453,                 1.5633,                 1.5213,              0.0011224,              0.0011224,              0.0011224
                     69,                0.57133,                 0.8153,                0.61438,                  1.015,                0.73552,                0.56885,                0.59525,                0.38418,                0.73552,                0.56885,                0.58382,                0.43871,                 1.1421,                 2.1764,                 1.6188,                 1.5151,              0.0011141,              0.0011141,              0.0011141
                     70,                 0.5962,                0.88542,                0.62962,                 1.0055,                0.71543,                0.56818,                0.63602,                0.40507,                0.68304,                0.54545,                0.59515,                0.45333,                 1.1417,                 2.1822,                 1.5414,                 1.5351,              0.0011059,              0.0011059,              0.0011059
                     71,                0.49611,                0.73945,                0.56367,                0.94934,                0.85875,                0.59091,                0.64922,                0.47299,                0.85875,                0.59091,                0.63072,                  0.486,                 1.0625,                 2.2239,                 1.4682,                 1.4426,              0.0010976,              0.0010976,              0.0010976
                     72,                  0.539,                0.77622,                0.57141,                 1.0114,                0.90799,                0.54545,                0.64908,                 0.4797,                0.90799,                0.54545,                0.63292,                0.47422,                 1.0674,                 2.3215,                 1.4688,                 1.4883,              0.0010894,              0.0010894,              0.0010894
